Employee ID,Name,Email,Phone Number,Department
1025,Regina Velasquez,matthew90@example.org,001-875-867-6165x6973,HR
1332,Anna Watson,jfuller@example.com,(424)372-6055,IT
6889,Anthony Casey,logan03@example.org,683-980-5101x172,IT
3097,Brad Clark,zrobinson@example.com,725-550-5205,Finance
7656,Christopher Middleton,andrewsilva@example.org,(536)495-0682x74157,Marketing
4927,Andrew Wood,arroyojenny@example.org,(514)226-7513,IT
9255,Alfred Lee,emunoz@example.net,808-474-1172x56945,Marketing
1954,Michael Berry,thodges@example.net,001-229-557-7183x8782,IT
4349,Jeremy Johnson,duncandakota@example.net,4155901349,Marketing
1163,Patricia Logan,penamarc@example.org,655.952.3202,Finance
3734,Scott Vazquez,jennareynolds@example.org,271.714.3866x26006,Finance
7621,Victoria Sweeney,vbarton@example.org,8982350407,IT
1321,Richard Garcia,gcameron@example.net,3016827012,HR
5788,James Mills,ekaiser@example.net,975.299.4503x6346,Finance
9643,Lauren Moss,russelldonna@example.net,333-463-3944x59528,Finance
2839,Samuel Jones,samantha88@example.org,714.650.0015,Marketing
5488,Kerry Andrews,kmercado@example.org,962-315-5333x857,Finance
2899,Nathan Vincent,calhounnicholas@example.org,640.316.7693,Marketing
6342,Tyler Torres,sally97@example.net,001-359-256-8852x079,IT
2045,Caitlin Wells,jessica81@example.org,+1-509-546-2237x259,IT
2163,Christopher Prince,moorekristina@example.com,354-491-6459x866,Finance
5153,Summer Garcia,crogers@example.net,+1-261-919-3898x379,Marketing
3944,Mark Sanchez,xandrade@example.net,445.631.8145x3300,Marketing
4197,Deborah Smith,angeladalton@example.org,480-964-8307,Finance
1248,Sean Walker,megan65@example.com,001-502-727-3054x8066,IT
7057,Wendy Smith,dillon87@example.org,266.648.4032,IT
3683,Phillip Mclean,alyssa47@example.org,+1-990-395-1782x3110,HR
2862,Ryan Edwards,uarmstrong@example.net,001-433-679-2978x44554,HR
8149,James Perez,mowen@example.org,4718908474,Finance
5916,Kim Herring,morenojames@example.net,793.753.6789x220,HR
5554,Lisa Yoder,nicole84@example.com,+1-714-545-1551x157,Marketing
5333,Mrs. Robin Thompson,brandon05@example.org,431-494-5902,HR
5324,Mark Carson,bakerchristina@example.net,001-792-667-2588x79434,Finance
1025,Shannon Heath,leedavis@example.net,205-792-8083x023,IT
1899,Tanya Walker,michellegalvan@example.com,001-246-648-7035x5827,Marketing
7994,Mary White,riverabradley@example.net,+1-607-496-9231,IT
9190,Colleen Brown,andrewkennedy@example.org,539.738.4503,Marketing
9232,Kelly Lopez,lynnjonathan@example.com,(988)636-2191x10660,Marketing
7275,Amanda Saunders,hernandezjennifer@example.net,001-325-444-9844,Finance
5158,Susan Lowe,carpentersamuel@example.net,905-274-2204,HR
8048,Joseph Reed,blairmatthew@example.net,+1-403-426-4167,HR
4153,Dylan Kelley,crystal05@example.com,+1-499-888-5366x9811,Marketing
3466,Benjamin Hamilton,derrickanderson@example.com,(529)368-3372,Marketing
3419,Margaret Hicks,ssmith@example.net,001-448-384-1171x68660,Finance
4233,Dennis Jones,leonard94@example.org,648-631-1424,Marketing
3335,Sharon Oconnell,jonessara@example.org,555.294.0205x5403,Marketing
9366,Sherry Hughes,ahall@example.net,(795)673-0667x7183,Marketing
6952,Samantha Allen,urobles@example.com,675-933-4926x898,Finance
7832,Megan Harris,doughertyjonathan@example.com,6103363052,HR
