Employee ID,Name,Email,Phone Number,Department
3814,Veronica Garcia,charleswilliams@example.org,333.901.3317,Finance
2901,Theresa Brown,curryjulian@example.com,001-730-962-4891x85699,Finance
1570,Charles Rogers,hsalazar@example.net,991.953.7421,HR
4817,Erin Reed,blakedarin@example.com,462.497.4592x4066,HR
3785,Kelly Gordon,suttonlaura@example.com,961-888-0401x4305,IT
9345,Anthony Williams,charles78@example.net,3017835518,HR
6249,Kimberly Montgomery,mcdanielsydney@example.com,606-320-3738x643,IT
2546,Dylan Clark,pjohnson@example.org,(415)536-1534,Finance
5514,Elizabeth Shannon,johnlee@example.net,401.334.5297x93081,IT
1420,Emily Gay,paulangela@example.com,001-594-777-2043,IT
6461,Richard Grimes,freemanlynn@example.org,+1-549-372-0237,Marketing
2545,Suzanne Wilson,buchananelizabeth@example.net,380-517-4695,HR
1813,Cassandra Anderson,sydneybarnes@example.net,(908)320-7395x1066,Finance
4648,Mark Conley,amanda13@example.com,595-472-3697,Marketing
1280,Christina Andrews,jacob80@example.net,001-703-291-7268x4147,HR
9103,David Parker,monicamoore@example.org,337.762.1053x3704,IT
8905,Linda Martinez,lbrooks@example.com,(546)966-1252x74812,Marketing
1491,Heather James,rbuckley@example.net,834-561-8704,Marketing
4174,Michael Riley,maryporter@example.com,(754)574-4449x2368,HR
3848,Tammy Reed,jimmyconley@example.org,(249)541-7830x7932,IT
3791,Kiara Walsh,troach@example.org,871.895.5726x90753,Marketing
2630,William Vazquez,richard11@example.com,(410)250-6673x858,Finance
9500,Andrew Le,ewilson@example.com,442.333.3136,Finance
5842,Victoria Taylor,jefferythompson@example.org,7864296060,Finance
2661,Robin Guerrero,udavidson@example.com,547-405-7780,HR
5973,Calvin White,courtney58@example.org,(469)270-0114x114,Finance
8870,Peter Sanchez,dominiquecooper@example.org,433.997.3945x39956,Finance
8113,Heather Smith,johnsonryan@example.net,001-354-884-8261x44876,Finance
6864,Reginald Moran,jamesjimenez@example.com,001-923-609-0476x3384,HR
9484,David Snyder,gsanchez@example.org,629-498-4982x6427,Finance
7166,Mark Wagner,payneheather@example.org,540.719.6612x483,Finance
2282,Tina Mcdaniel,christopher25@example.net,838.450.9620x0248,HR
7999,Scott Medina,mcbrideashley@example.org,9249501116,HR
4742,Amanda Ball,kristenhernandez@example.net,405-596-7681x1506,HR
3577,Jeffery Rodriguez,phillip01@example.com,352.704.3135x84941,Finance
9908,Sean Torres,heather25@example.com,(672)993-1396,IT
3837,Mark Suarez,kimberly22@example.com,001-757-505-6079x25355,Marketing
8942,Cody Dixon,robert54@example.org,7115154208,Marketing
3632,Natasha Randall,rlynch@example.net,4883291837,IT
9331,Jared Ford,garykennedy@example.net,258.869.8187,Finance
8175,David Sanchez,solomonjesse@example.net,001-451-719-1758x51163,IT
6526,Beth Fields,eevans@example.com,642.216.4949x0747,IT
5362,Allen Bennett,lholmes@example.net,573.655.9896x6120,HR
4913,Shawn Little,joannecollins@example.org,9438814468,Finance
8897,Joseph Ryan,tmccullough@example.com,3862114531,Finance
6615,Ashley Walls,fspencer@example.com,(772)983-3136,Finance
7603,Jeffrey Weaver,margaret82@example.org,(213)336-0319,IT
3667,Renee Young,keith16@example.com,980.289.6190x98273,Marketing
5144,Colleen Hall,russellkim@example.com,507-221-6349,Finance
7405,William Johnson,xbarton@example.com,607.221.6712x121,HR
3852,Kristen Gutierrez,kevin01@example.com,001-858-799-4965x64826,Finance
4293,Michael White,kathleen94@example.net,001-831-564-0316x2016,Finance
3539,Ann Tran,michael20@example.net,(869)967-8031,IT
