Employee ID,Name,Email,Phone Number,Department
5489,David Brown,epacheco@example.com,+1-206-414-9787x3619,Marketing
9484,Michael Bailey,kathleenhernandez@example.net,785-918-2684x92886,Marketing
3396,Marissa Lewis,urose@example.com,631-683-7885x1681,Marketing
4420,Robert Gonzalez,reyesrebecca@example.org,5742411094,Marketing
9514,Jerry Ingram,wbrowning@example.com,(849)575-1717x524,Finance
9742,Ian Hicks,bstanton@example.com,240-272-7201,HR
7754,William Taylor,rlee@example.net,+1-581-482-3698x539,HR
8207,Kevin Smith,holmeslaura@example.net,(927)684-7791,Marketing
8076,Harry Smith,emorris@example.net,595-450-3811x48130,HR
7389,Jennifer Smith,jessicarojas@example.org,883.902.9696x61609,HR
5509,Kevin Weber,ogeorge@example.org,345-275-2896x840,Finance
5296,Jeffrey Ryan,drobinson@example.com,(508)530-2379,Marketing
2016,Jack Sawyer,jamessantiago@example.com,216.202.6612,IT
3890,Devin Evans,deanjessica@example.org,577.469.9132x03579,Marketing
4218,Maria Nichols,bclark@example.org,+1-595-697-1952x582,Marketing
4613,Brandon Wade,michaelbrown@example.com,(392)614-9972,HR
9675,Michael Conley,heatherpatel@example.org,285.338.8066x020,Finance
8592,Edward Griffin,rodriguezthomas@example.org,898-951-3951x4306,HR
8923,Mary Rivera,elizabeth06@example.org,+1-858-935-4116x690,HR
7929,Emily Hendrix,brady39@example.net,+1-743-721-1805,IT
6043,Douglas Lutz,juliafloyd@example.net,001-752-766-6040,Finance
6354,Amber Lee,tyler82@example.org,(856)354-3705x597,Marketing
5461,Jeffrey Larson,sthompson@example.com,433.222.3324x459,Finance
4986,Aaron Wilson,youngrichard@example.org,+1-798-392-2665x1385,Finance
4455,Raymond English,chelseahart@example.com,586-602-6349x226,Marketing
7748,Tammy James,wthompson@example.com,001-577-666-4373,Marketing
1985,Cheryl Miller,iruiz@example.org,001-553-522-0518x865,IT
2079,Brittany Garrett,vmills@example.net,+1-452-420-8031x3123,HR
6302,Philip Riley,tina63@example.org,001-917-483-6297,Marketing
5731,Devin Black,joseph95@example.org,477-568-5752x04296,HR
3479,Travis Mckay,qgonzales@example.net,(921)316-3351x5163,HR
6014,John Escobar,thomasduncan@example.org,001-201-253-0033x858,Marketing
6192,Tiffany Baker,deborahpatterson@example.org,(976)952-4166,Marketing
1605,Morgan Myers,barbarafarmer@example.net,(470)700-8823x463,Marketing
8860,William Nichols,parkerthomas@example.net,814-270-6761,Finance
1236,Ashley Johnson,josephmcneil@example.net,588-337-2226x7275,Marketing
5611,Tina Anderson,anthony73@example.com,360.846.5208x8096,IT
3627,Sharon Curtis,leonard58@example.com,902-651-9249,IT
3680,Bradley Montgomery,whitekenneth@example.net,268.820.0644,Finance
1669,Lacey Sloan,zconley@example.com,(501)577-4083,HR
4796,Nicholas Molina,nataliemoore@example.net,491.666.1052,Finance
6340,Paul Smith,chavezashley@example.com,+1-733-878-2928x50751,IT
8300,Charles Hall,virginiathomas@example.com,315.542.6203x588,IT
6326,Walter Lopez,sanchezdavid@example.com,354.205.4632x81905,Finance
7304,Kristin Lang,michaelchristian@example.org,+1-994-222-2585x5154,IT
4578,Kathleen Jimenez,bsmith@example.org,567.574.5711x68430,Finance
2306,Samuel Hickman,vanessa20@example.com,001-240-338-1284,IT
6847,Jennifer Frederick,jgordon@example.org,409.702.2934x712,IT
