Employee ID,Name,Email,Phone Number,Department
2878,Heidi Rodriguez,juarezthomas@example.net,7177050516,Marketing
6735,Julia Kennedy,ewelch@example.com,(389)284-1077x555,IT
3896,Michael Clark,ireed@example.net,9285195256,Marketing
1804,Todd Roberts,trhodes@example.com,979.887.1617x5643,HR
5339,James Johnson,twilliams@example.com,601.992.1623x92976,Marketing
3207,Kendra Alexander,kinganthony@example.org,205-262-4088,Marketing
7880,Susan Davis,tyler55@example.com,001-873-671-7240x6834,Marketing
8280,Amy Walsh,martin56@example.org,689.372.2287,IT
4864,Samantha Graham,amanning@example.com,508.911.2053,IT
3500,Michael Henson,morriseugene@example.net,001-700-412-7662,IT
9860,Ashley Patterson,esweeney@example.org,294.576.0342x52145,Marketing
4269,Richard Stephens MD,arthurflores@example.net,764-721-4589x0373,IT
6291,Mr. Thomas Johnson DDS,millervictor@example.org,+1-954-462-0737x0076,Marketing
6434,Carl Watts,wbartlett@example.com,244-631-2746x18219,Finance
2347,Linda Gibson,aprilwilliams@example.net,001-451-735-2369x6383,Marketing
1373,Rebecca Long,ivazquez@example.org,001-353-380-6092x98074,Marketing
4155,Isabella Contreras,murphyterri@example.org,529-523-2889x1111,Marketing
6282,Becky Garcia,jasontrujillo@example.net,206.708.6868x80728,Marketing
4735,Mr. Samuel Dawson,floresvictor@example.org,001-382-844-0098x3993,Finance
9402,Caroline Reeves,suarezdebbie@example.org,385-770-5944x278,Marketing
4205,John Smith,lholloway@example.net,312-922-0283x15414,IT
6573,Darlene Ponce,gary38@example.org,2172909533,Finance
2961,Brittany Johns,diane52@example.net,(453)398-7120,Marketing
9133,Ryan Taylor,julie48@example.net,255-820-4388,Marketing
3131,Julie Shah,susan38@example.com,365-649-2013x57915,HR
9941,Peter Jones,sophia08@example.com,253.236.5645x7454,Finance
1753,Jacob Clay DDS,kristyhansen@example.net,001-714-497-5045x8757,Finance
1041,Pamela Buck,lorihicks@example.net,+1-212-525-8108x650,IT
2330,Michael Simpson,xibarra@example.org,001-560-307-6061,Marketing
7449,Lisa Jones,russellbernard@example.com,360.666.0017x0420,IT
9999,Jennifer Martin,ihall@example.org,001-217-329-3822,HR
7953,Robert Smith,jeffreydavis@example.org,001-739-332-3657x361,HR
3303,Kevin Charles,leblancann@example.com,001-378-582-7183,HR
7120,Rebecca Baker,robert46@example.org,610.923.0997x39536,IT
8585,Mary Bowman,garciaemily@example.net,283.402.1079,HR
2928,Erin Adams,ewhite@example.org,837.822.4920,IT
6141,Laurie Carroll,macdonaldamanda@example.net,972-502-6866x933,HR
3540,Samantha Lee,deborahmarshall@example.com,724.790.8411,Finance
8512,Margaret Guerrero,kellymata@example.com,+1-746-526-1038x80082,Marketing
5185,Kathryn Howard,crosbyallison@example.org,219-519-5159x806,Finance
5743,Mary Carr,andrew81@example.net,267.441.6985x338,IT
2222,Patrick Rodriguez,soconnell@example.com,+1-505-463-2310x4480,Finance
2318,Darlene Fernandez,johnpierce@example.org,3732188241,IT
2687,Ashley Collins,justin64@example.net,969-286-1644,IT
7155,Ashley Holmes,bethmathis@example.net,605.750.9731x00955,Marketing
5683,Jeffrey Gates,julia03@example.com,001-953-547-5642x84439,Finance
8387,Ashley Conley,yodershelly@example.org,982.521.3446x14107,HR
7318,Anita Webster,dwaynebrown@example.org,(980)353-0851x4263,Finance
