Employee ID,Name,Email,Phone Number,Department
7530,Jessica Stuart,christopherwilson@example.net,(980)330-7479x89740,Finance
3763,Amanda Ferguson,wmurphy@example.com,(789)630-6080x0614,IT
9515,Allison Bell,sonyacarrillo@example.com,001-918-503-6073x5120,IT
9076,Whitney Lynn,ycain@example.net,(409)461-8355x933,HR
7690,Joseph Chambers,taylorkimberly@example.net,(388)990-8854,IT
1577,Charles Walters PhD,lwu@example.org,484-458-2962,IT
6260,Richard Williams,sarah77@example.com,(405)794-9806,Finance
5079,Stephen Cannon,kelly83@example.net,+1-687-953-4064,Finance
4906,Patricia Pierce,dillonsara@example.net,767.305.8417x62609,Marketing
3979,Ronald Price,rcollins@example.net,673.745.0990x1403,HR
8825,Jason Martin,lucas63@example.org,258.626.6825x160,HR
8321,Ashley Wu,moorehannah@example.com,5244510443,Marketing
6842,Caleb Gomez,xdennis@example.com,001-274-303-0617x2893,Finance
9854,Jeff Olson,xavier19@example.net,001-481-982-3086x54098,Marketing
3249,Justin Duke,daniel95@example.net,843.881.6903x7025,Finance
5578,Anna Solis,banksrebecca@example.com,557-485-0630,HR
9277,Norma Padilla,amanda64@example.com,736.370.0248x314,HR
1942,Shannon Mills,tpayne@example.com,744-377-2624x7974,HR
1533,Shane Diaz,wilsonsteven@example.org,364-566-8729,HR
2935,Paul Dunn,hpitts@example.net,716.966.4662,Marketing
9755,Hayden Chapman,qmartin@example.org,+1-493-513-3636x092,HR
9399,Connor Melendez,robertwalters@example.com,+1-337-278-9676x9624,Marketing
7704,Deanna Wade,michael32@example.org,256.721.4066x38283,Finance
3195,Felicia Thomas,sarah73@example.com,(374)475-3173x78439,Finance
7969,Matthew Brandt,gamblejohn@example.net,001-566-202-8369,HR
2352,Jessica Thompson,alexander08@example.com,(953)901-6571,HR
3767,Timothy Kerr,ostewart@example.net,2789865234,Marketing
6490,Jennifer Burch,christine65@example.net,001-509-217-0256,HR
2758,Tabitha Edwards,kristenhinton@example.net,(849)865-7856x62204,IT
1668,James Parsons,garyodonnell@example.com,001-709-923-7445,IT
7023,Randall Escobar,hughesbeverly@example.com,627-790-8795,Marketing
8577,Mrs. Brittney Thompson,hughescaitlin@example.com,001-588-622-7356x432,IT
1985,Ray Chang,gibbsashley@example.com,+1-326-300-5182,Marketing
1794,Emily Williamson,aguilarricardo@example.org,5019413416,IT
2977,Kenneth Rivera,tina17@example.com,+1-651-989-2020x399,Marketing
4757,Barbara Farley,brooke51@example.org,(692)308-2546x919,Finance
6581,Brandon Gomez,fgarcia@example.org,+1-948-965-0263x4239,IT
2624,Shawn Martinez,wcase@example.net,001-450-698-0433x238,HR
8760,Amanda Scott,victoria81@example.net,420-649-0400,Finance
5140,Daniel Le,lisalin@example.com,474.981.7671,HR
5903,Rebecca Matthews,anitajones@example.org,9908188468,Marketing
